name,source,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
Kraftwerk Ingolstadt,oil,840.0,ElmTerm_0097,11.50773061334959,48.76112398371965,POINT (11.50773061334959 48.76112398371965),SM_0196
BEW Staustufe Rain,hydro,11.2,ElmTerm_0124,10.86376165953402,48.54682313334514,POINT (10.86376165953402 48.54682313334514),SM_0197
Wasserkraftwerk Gars am Inn,hydro,24.0,ElmTerm_0123,12.130190649732526,47.91316549606221,POINT (12.13019064973253 47.91316549606221),SM_0198
Kraftwerk Passau-Ingling,hydro,86.4,ElmTerm_0099,13.10343465655084,48.66679296188136,POINT (13.10343465655084 48.66679296188136),SM_0199
Pumpspeicherkraftwerk Langenprozelten,hydro,160.0,ElmTerm_0096,9.594301654057542,49.79844273337363,POINT (9.594301654057542 49.79844273337363),SM_0200
Kraftwerk Franken I,gas;oil,843.0,ElmTerm_0088,10.843117802275607,49.3786926568176,POINT (10.84311780227561 49.3786926568176),SM_0201
Kraftwerk Niederaichbach,hydro,16.1,ElmTerm_0127,12.296883807499354,48.60690994567718,POINT (12.29688380749935 48.60690994567718),SM_0202
Kraftwerk Irsching,gas,1406.0,ElmTerm_0139,11.581370530534224,48.76489406892629,POINT (11.58137053053422 48.76489406892629),SM_0203
Laufwasserkraftwerk Ingolstadt,hydro,19.8,ElmTerm_0097,11.50773061334959,48.76112398371965,POINT (11.50773061334959 48.76112398371965),SM_0204
Laufwasserkraftwerk Bergheim,hydro,18.9,ElmTerm_0097,11.50773061334959,48.76112398371965,POINT (11.50773061334959 48.76112398371965),SM_0205
Wasserkraftwerk Töging,hydro,84.5,ElmTerm_0132,12.747462509137112,48.148745343941634,POINT (12.74746250913711 48.14874534394163),SM_0206
