Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-01-17 18:00:00,2021-01-17 19:00:00,8122.800
2021-01-17 19:00:00,2021-01-17 20:00:00,7908.400
2021-01-17 20:00:00,2021-01-17 21:00:00,7569.200
2021-01-17 21:00:00,2021-01-17 22:00:00,7263.100
2021-01-17 22:00:00,2021-01-17 23:00:00,7433.300
2021-01-17 23:00:00,2021-01-18 00:00:00,7160.700
2021-01-18 00:00:00,2021-01-18 01:00:00,6907.300
2021-01-18 01:00:00,2021-01-18 02:00:00,6644.600
2021-01-18 02:00:00,2021-01-18 03:00:00,6592.100
2021-01-18 03:00:00,2021-01-18 04:00:00,6500.900
2021-01-18 04:00:00,2021-01-18 05:00:00,6689.100
2021-01-18 05:00:00,2021-01-18 06:00:00,7324.200
2021-01-18 06:00:00,2021-01-18 07:00:00,8367.500
2021-01-18 07:00:00,2021-01-18 08:00:00,9347.900
2021-01-18 08:00:00,2021-01-18 09:00:00,9763.100
2021-01-18 09:00:00,2021-01-18 10:00:00,9867.900
2021-01-18 10:00:00,2021-01-18 11:00:00,10013.200
2021-01-18 11:00:00,2021-01-18 12:00:00,10134.300
2021-01-18 12:00:00,2021-01-18 13:00:00,9995.900
2021-01-18 13:00:00,2021-01-18 14:00:00,9816.600
2021-01-18 14:00:00,2021-01-18 15:00:00,9609.500
2021-01-18 15:00:00,2021-01-18 16:00:00,9526.700
2021-01-18 16:00:00,2021-01-18 17:00:00,9599.800
2021-01-18 17:00:00,2021-01-18 18:00:00,9869.200
2021-01-18 18:00:00,2021-01-18 19:00:00,9727.600
2021-01-18 19:00:00,2021-01-18 20:00:00,9219.000
2021-01-18 20:00:00,2021-01-18 21:00:00,8669.800
2021-01-18 21:00:00,2021-01-18 22:00:00,8170.800
2021-01-18 22:00:00,2021-01-18 23:00:00,8011.500
2021-01-18 23:00:00,2021-01-19 00:00:00,7652.700
2021-01-19 00:00:00,2021-01-19 01:00:00,7356.500
2021-01-19 01:00:00,2021-01-19 02:00:00,7140.500
2021-01-19 02:00:00,2021-01-19 03:00:00,7090.700
2021-01-19 03:00:00,2021-01-19 04:00:00,7020.000
2021-01-19 04:00:00,2021-01-19 05:00:00,7099.800
2021-01-19 05:00:00,2021-01-19 06:00:00,7668.300
2021-01-19 06:00:00,2021-01-19 07:00:00,8546.000
2021-01-19 07:00:00,2021-01-19 08:00:00,9417.600
2021-01-19 08:00:00,2021-01-19 09:00:00,9774.600
2021-01-19 09:00:00,2021-01-19 10:00:00,9769.600
2021-01-19 10:00:00,2021-01-19 11:00:00,9790.900
2021-01-19 11:00:00,2021-01-19 12:00:00,9756.500
2021-01-19 12:00:00,2021-01-19 13:00:00,9488.400
2021-01-19 13:00:00,2021-01-19 14:00:00,9347.100
2021-01-19 14:00:00,2021-01-19 15:00:00,9213.200
