Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-03 10:45:00,2019-01-03 11:00:00,9280.000
2019-01-03 11:00:00,2019-01-03 11:15:00,9268.400
2019-01-03 11:15:00,2019-01-03 11:30:00,9298.000
2019-01-03 11:30:00,2019-01-03 11:45:00,9356.400
2019-01-03 11:45:00,2019-01-03 12:00:00,9325.200
2019-01-03 12:00:00,2019-01-03 12:15:00,9342.000
2019-01-03 12:15:00,2019-01-03 12:30:00,9261.200
2019-01-03 12:30:00,2019-01-03 12:45:00,9191.200
2019-01-03 12:45:00,2019-01-03 13:00:00,9165.600
2019-01-03 13:00:00,2019-01-03 13:15:00,9210.800
2019-01-03 13:15:00,2019-01-03 13:30:00,9192.800
2019-01-03 13:30:00,2019-01-03 13:45:00,9172.400
2019-01-03 13:45:00,2019-01-03 14:00:00,9145.600
2019-01-03 14:00:00,2019-01-03 14:15:00,9096.400
2019-01-03 14:15:00,2019-01-03 14:30:00,9056.400
2019-01-03 14:30:00,2019-01-03 14:45:00,9039.200
2019-01-03 14:45:00,2019-01-03 15:00:00,9034.800
2019-01-03 15:00:00,2019-01-03 15:15:00,9073.200
2019-01-03 15:15:00,2019-01-03 15:30:00,9048.400
2019-01-03 15:30:00,2019-01-03 15:45:00,9022.400
2019-01-03 15:45:00,2019-01-03 16:00:00,9032.800
2019-01-03 16:00:00,2019-01-03 16:15:00,9102.000
2019-01-03 16:15:00,2019-01-03 16:30:00,9178.400
2019-01-03 16:30:00,2019-01-03 16:45:00,9272.000
2019-01-03 16:45:00,2019-01-03 17:00:00,9384.800
2019-01-03 17:00:00,2019-01-03 17:15:00,9479.200
2019-01-03 17:15:00,2019-01-03 17:30:00,9552.000
2019-01-03 17:30:00,2019-01-03 17:45:00,9553.600
2019-01-03 17:45:00,2019-01-03 18:00:00,9534.000
2019-01-03 18:00:00,2019-01-03 18:15:00,9498.000
2019-01-03 18:15:00,2019-01-03 18:30:00,9398.800
2019-01-03 18:30:00,2019-01-03 18:45:00,9326.400
2019-01-03 18:45:00,2019-01-03 19:00:00,9224.000
2019-01-03 19:00:00,2019-01-03 19:15:00,8984.400
2019-01-03 19:15:00,2019-01-03 19:30:00,8848.400
2019-01-03 19:30:00,2019-01-03 19:45:00,8740.800
2019-01-03 19:45:00,2019-01-03 20:00:00,8649.200
2019-01-03 20:00:00,2019-01-03 20:15:00,8523.600
2019-01-03 20:15:00,2019-01-03 20:30:00,8392.400
2019-01-03 20:30:00,2019-01-03 20:45:00,8249.600
2019-01-03 20:45:00,2019-01-03 21:00:00,8162.400
2019-01-03 21:00:00,2019-01-03 21:15:00,7989.200
2019-01-03 21:15:00,2019-01-03 21:30:00,7866.000
2019-01-03 21:30:00,2019-01-03 21:45:00,7745.600
2019-01-03 21:45:00,2019-01-03 22:00:00,7710.000
2019-01-03 22:00:00,2019-01-03 22:15:00,7882.000
2019-01-03 22:15:00,2019-01-03 22:30:00,7814.000
2019-01-03 22:30:00,2019-01-03 22:45:00,7708.800
2019-01-03 22:45:00,2019-01-03 23:00:00,7582.800
2019-01-03 23:00:00,2019-01-03 23:15:00,7483.600
2019-01-03 23:15:00,2019-01-03 23:30:00,7346.400
2019-01-03 23:30:00,2019-01-03 23:45:00,7227.600
2019-01-03 23:45:00,2019-01-04 00:00:00,7111.600
2019-01-04 00:00:00,2019-01-04 00:15:00,7082.800
2019-01-04 00:15:00,2019-01-04 00:30:00,6958.800
2019-01-04 00:30:00,2019-01-04 00:45:00,6854.400
2019-01-04 00:45:00,2019-01-04 01:00:00,6764.800
2019-01-04 01:00:00,2019-01-04 01:15:00,6756.400
2019-01-04 01:15:00,2019-01-04 01:30:00,6682.800
2019-01-04 01:30:00,2019-01-04 01:45:00,6628.800
2019-01-04 01:45:00,2019-01-04 02:00:00,6566.400
2019-01-04 02:00:00,2019-01-04 02:15:00,6604.800
2019-01-04 02:15:00,2019-01-04 02:30:00,6530.000
2019-01-04 02:30:00,2019-01-04 02:45:00,6494.400
2019-01-04 02:45:00,2019-01-04 03:00:00,6441.600
