name,geometry
Umspannwerk Kaiserebersdorf,"POLYGON ((16.4746742 48.1559127, 16.4757701 48.155385, 16.4761069 48.1557038, 16.4768393 48.1563757, 16.4769062 48.1564766, 16.4765763 48.1565517, 16.4762236 48.1566655, 16.475873 48.1567825, 16.4756853 48.1568388, 16.4751747 48.1563778, 16.4749368 48.1561687, 16.4749137 48.1561484, 16.4746742 48.1559127))"
Umspannwerk Enzersdorf,"POLYGON ((16.6146822 48.0648122, 16.6147294 48.0648146, 16.6149638 48.0648263, 16.6150239 48.0648295, 16.6154717 48.0648518, 16.6154207 48.0653107, 16.6146312 48.0652715, 16.6146822 48.0648122))"
UW Hütte Süd 110kV,"POLYGON ((14.3429511 48.2673819, 14.3426954 48.2675177, 14.3425644 48.2674084, 14.3425211 48.2674313, 14.3424587 48.2673792, 14.342502 48.2673562, 14.3421164 48.2670345, 14.3420131 48.2670894, 14.3418871 48.2669843, 14.3417702 48.2668867, 14.3419493 48.2667916, 14.3418772 48.2667314, 14.3416344 48.2665288, 14.3415656 48.2664713, 14.3414566 48.2665292, 14.3414011 48.2664828, 14.3417623 48.2662912, 14.3418918 48.2663994, 14.3420523 48.2665333, 14.3424366 48.2668542, 14.3427911 48.2671502, 14.3429883 48.2673149, 14.3429165 48.267353, 14.3429511 48.2673819))"
Schaltwerk Etzersdorf,"POLYGON ((15.7359572 48.2692107, 15.7361476 48.2680852, 15.7387619 48.2682812, 15.7385715 48.2694067, 15.7359572 48.2692107))"
Umspannwerk Ybbsfeld,"POLYGON ((15.0452237 48.1467496, 15.0490138 48.1482468, 15.0501675 48.1469465, 15.0504181 48.1466641, 15.0465878 48.1451472, 15.0452237 48.1467496))"
Umspannwerk Ybbsfeld,"POLYGON ((15.0452237 48.1467496, 15.0490138 48.1482468, 15.0501675 48.1469465, 15.0504181 48.1466641, 15.0465878 48.1451472, 15.0452237 48.1467496))"
Umspannwerk Ulmerfeld-Hausmening,"POLYGON ((14.8118638 48.0633504, 14.8115104 48.063067, 14.8111959 48.0627937, 14.8119699 48.0621536, 14.8122351 48.0622968, 14.8119731 48.0625135, 14.8122588 48.0626677, 14.8125192 48.0628084, 14.8118638 48.0633504))"
Umspannwerk Bergern,"POLYGON ((15.2707398 48.2176691, 15.2698634 48.217583, 15.2697611 48.217573, 15.2687289 48.2174716, 15.2685895 48.2181018, 15.2685155 48.2184364, 15.2705264 48.2186339, 15.2705293 48.2186208, 15.2705359 48.2185911, 15.2705432 48.2185581, 15.2706373 48.2181326, 15.2706405 48.2181182, 15.2706438 48.2181033, 15.2706906 48.2178917, 15.2706939 48.2178768, 15.2706973 48.2178612, 15.2707398 48.2176691))"
Umspannwerk Innsbruck-Ost,"POLYGON ((11.4277717 47.2714767, 11.4287402 47.2710284, 11.4290905 47.27098, 11.429652 47.2715557, 11.4291305 47.2717836, 11.4290019 47.2716541, 11.4282842 47.2719864, 11.4277717 47.2714767))"
Schaltwerk Ohlsdorf,"POLYGON ((13.7972496 47.9708049, 13.7978612 47.9707851, 13.7978003 47.9699421, 13.7971887 47.9699619, 13.7972496 47.9708049))"
Umspannwerk Rietz,"POLYGON ((11.056811 47.2924727, 11.0573882 47.2926257, 11.0571914 47.2929675, 11.0566141 47.2928146, 11.056811 47.2924727))"
Umspannwerk Handelskai,"POLYGON ((16.4078243 48.2230717, 16.4084718 48.2225867, 16.4085741 48.2226473, 16.4086401 48.2225979, 16.4087909 48.2226873, 16.4080774 48.2232217, 16.4078243 48.2230717))"
Umspannwerk Frastanz,"POLYGON ((9.6417845 47.2220236, 9.6418803 47.2221369, 9.642799500000001 47.2224752, 9.643435999999999 47.2222256, 9.6428964 47.221574, 9.642361899999999 47.2217901, 9.6417845 47.2220236))"
Unterwerk Elsbethen,"POLYGON ((13.0846739 47.7522072, 13.0847191 47.7521665, 13.0847615 47.7521213, 13.0847463 47.7519701, 13.0842639 47.7518852, 13.0841715 47.7523361, 13.084132 47.7524876, 13.0843976 47.7525399, 13.0844352 47.7525444, 13.0844727 47.7524119, 13.0845813 47.7522667, 13.0846739 47.7522072))"
